"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Belarús","BLR","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","968283686.2","1296124124.3","1693743257.4","1958924253.1","2082345263","2386480834.1","2703253741.5","2620196263.4","2798732256.7","3399007710","3779551001.2","4601438650.3","5300175946.7","6562099699.5","12526106963.9","15152844791","22078685409.7","28412146648.8","33932546340.5","33755733316","39573469218.4","40013829087.7","38257921211.1","37515947697.5","39584221158.1","38767563257","40734118642.4","41792363746.1","41653683788.2","39858867169.4","36704544069.5","",
"Belice","BLZ","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","4084800","4338910","5068965.7","4825894.4","5274044.5","4827053","9165985.1","20669097.4","33312767.1","71830514.1","63043521.2","60228528.7","69805336.4","100638089.8","98761894.3","118125320.2","121873478.7","137196602.4","132277165.4","137214241","142750749.7","161781662.7","180961169","194553505.8","198665305","255157967.5","281542136.1","450090458.6","333460184.2","416579339.1","629903800.8","721979991.7","849529037.9","1061730342.3","965854392.5","1023162269.1","1054232125.7","1075497698.7","1275782808","1291168230.7","1303876871.3","1274688747.1","1196357127.5","1248681027.9","1286357300.3","1279832151.2","1290298702.5","1338924309.2","1348898447.4","1377410086.7","1527384210.8","1451584243.3","1468117939.9","1509919204.9","",
"Bermudas","BMU","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","716253874.1","693954454.3","809516354.4","851175724.6","946414912","1080565198.2","1360672695.7","1803420861.4","2238360353.6","2633582875.2","2784672649.8","3310315978.8","3422096975.7","4164917350.3","4412205630.3","4898177366.7","5670015389.5","5934538201.2","4997498695.1","4229853023.5","4369976028","4158857030.9","4332374230.3","4400366539","4965186858.3","5359275052.5","5275484513.9","5313085255.3","5688227905.2","5655151008.4","5892765188.4","4794042371.9","5107005795.5","5864138345.8","6284467791.5","6967641266.1","6255767963.5","5064781761.7","5701040187.5","5780325836.3","5776504655.7","6181999152.8","6617099947.7","8141786767.5","8884014490.4","9895204080.3","10994252972.4","12990057752.2","13248377783.1","14301150537.3","15420129053.6","16025613524","15930334885.1","16306937351.2","",
"Brasil","BRA","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","5984162468.6","7726273573.1","11863655548.9","15066000213.8","22464958636","27781563139.4","33801318618.9","42500176105.4","55032094032.5","61795286977.7","71983934096.8","81914155928.9","94428719113.5","99022210538.2","104364922436.4","104173244270.1","109645181057.1","120476573202.5","118039405885","114930095027.7","120311895094.7","121336709129.8","129535948557.2","144599577124.3","152903103557.7","160964228343.5","181793526989.2","198980293495.1","241998415763.8","245114967226","242511685521.8","229959717402.1","231944181034.5","235907984168.4","220693592600.6","188364545589.9","194303018016.9","238444452622.6","262957236462.6","281651138432.4","352364412862.6","404046105342.1","440496598192.8","483734834011.9","556919631071.7","543397356309.8","543257228545.3","543000470110.9","557765380774.6","568708887352.2","549325935898.2","571530916149.8","579468087189.4","607115489833","",
"Barbados","BRB","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhután","BTN","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","325908.8","1143925.1","1764110.8","2731924.9","8833074.5","20953606.6","40242793.9","67083431.5","73855715.5","83545689.9","86339685.4","89198882.7","96619573","104507960.6","105769087.6","113040448.6","119619860","171042023.7","192034098.7","211571982.8","272712510.2","386049931.1","493626169.2","601316819.9","656602174.2","721112613.6","801238273.2","693075804.2","786548880.3","934629272.1","1070492249.6","1449649027.4","1628150561","1941155641.3","2111104022.8","2389670352.4","2707950876.9","2651977085","2803804731.6","3236756638.4","3268867963.8","3160243054.4","3269070740.1","",
"Botswana","BWA","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","17358400","33201565.7","74756512","114920842.5","134055048","147979450.1","166353134.3","185561932.5","125537379.1","130018668","135629101.5","159540360.1","204807763.8","228122753.2","266914783.7","345662733.4","407035314.5","543402800.4","532601060.4","549840386.8","552920438.5","612559218.7","606348584.4","663983873","700397765.1","717153185","626530347.7","574727348","532169048.7","510191242.4","452434627.4","400352880.4","491350071","514126449.3","515796292.8","460538960.4","364731487.2","425189546.8","448508779.9","1643300883.2","1806938426.7","2395188968.7","2517445031.3","2378002492.2","2490383552.1","2223000319.7","2121220930.7","1732142195.8","1773968857.7","1564146563.7","1602987277.9","1997456430.5","2002717072.9","2078815546.5","",
"República Centroafricana","CAF","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","24142239.5","28420020.5","36809736.2","56151760.7","68570794","79160192.1","94577875.7","131960067.2","142360554.6","157822458.1","194665446.9","233383987.6","253472380.5","257907897.6","263621787.4","343526726.1","461863128.5","617836345.5","668836055.3","693537146.4","698505035.4","794180184","813886188.5","875128942.6","888050750.8","945983160.3","932746933.3","882958613.1","918825268.8","924194362.5","869008795.3","834810718.1","1083576140.7","1064243826","1116732591.6","1044778987.1","1049101554.1","1029858389.6","998708752.1","550619216","634315034.6","571183516.3","577205381.3","597883051.4","661865485.4","690878853.7","694900759","722117032.8","785601039.9","849502900.5","900980899.3","1119833412.4","1015019040.8","1020876080.2","",
