periodo,CICLO,TRIMESTRE,balance_mmxn,ingresos_mmxn,gasto_mmxn,balance_derivado_mmxn,gap_balance_mmxn
2019-07-01,2019,3,-40304.77714,1353755.1487,1411655.4531,-57900.30440000002,17595.527260000024
2019-10-01,2019,4,-233382.01991,1408730.1312,1605009.4519,-196279.32070000004,-37102.69920999996
2020-01-01,2020,1,26933.215689999997,1462933.7645,1480947.8827,-18014.11819999991,44947.33388999991
2020-04-01,2020,2,-320184.01852,1140120.5509000001,1440785.0118,-300664.46089999983,-19519.557620000152
2020-07-01,2020,3,-15199.241879999994,1285884.4487,1311529.4229000001,-25644.974200000055,10445.732320000061
2020-10-01,2020,4,-367972.87220000004,1451051.7008,1761763.4352,-310711.73439999996,-57261.137800000084
2021-01-01,2021,1,-83036.87557999999,1564333.7667,1663437.7032,-99103.93650000007,16067.060920000076
2021-04-01,2021,2,-148160.132931,1366953.1858,1531221.745,-164268.55920000002,16108.426269000018
2021-07-01,2021,3,-130816.38488000001,1391009.1277,1513379.67,-122370.54229999986,-8445.842580000157
2021-10-01,2021,4,-390482.97702999995,1638648.5404,2027780.5235000001,-389131.98310000007,-1350.9939299998805
2022-01-01,2022,1,-58489.38394999999,1717150.7931,1804718.9286000002,-87568.13550000032,29078.751550000336
2022-04-01,2022,2,-117366.69973,1588041.2937000003,1710784.8603,-122743.56659999979,5376.866869999794
2022-07-01,2022,3,-172503.96204,1582326.3028,1747451.1184999999,-165124.81569999992,-7379.146340000094
2022-10-01,2022,4,-602531.9471199999,1715311.2618999998,2291178.3506,-575867.0887000002,-26664.858419999713
2023-01-01,2023,1,-98632.05860599999,1743374.0171,1867416.1438,-124042.1266999999,25410.068093999915
2023-04-01,2023,2,-296060.83759,1721488.5577,2019757.2841,-298268.72640000004,2207.888810000033
2023-07-01,2023,3,-250251.48915,1730760.8967000002,1975521.6532,-244760.7564999999,-5490.732650000107
2023-10-01,2023,4,-408396.09261999995,1843736.3235999998,2259253.1956,-415516.87200000044,7120.779380000487
2024-01-01,2024,1,-452969.18168000004,1867356.4542,2325303.0089,-457946.55469999975,4977.373019999708
2024-04-01,2024,2,-244032.74189999996,1951445.0783,2242196.4248,-290751.3465000002,46718.60460000025
2024-07-01,2024,3,-293671.01922,1805715.0019,2140864.616,-335149.6140999999,41478.59487999987
2024-10-01,2024,4,-676773.05047,1868412.3839999998,2455821.5236,-587409.1396000001,-89363.9108699999
2025-01-01,2025,1,-118265.25910000001,2149137.4447,2269852.6066,-120715.16190000018,2449.902800000171
2025-04-01,2025,2,-299876.115474,1955642.4786999999,2300413.7288,-344771.2501000003,44895.134626000305
2025-07-01,2025,3,-129645.4402,1275188.8686000002,1390841.0504,-115652.1817999999,-13993.258400000093
