periodo,inflacion_yoy_avg,PIB_USD_2018,ingresos_mmxn_USD_2018,gasto_mmxn_USD_2018,balance_mmxn_USD_2018,rfsp_sin_ingresos_rec_miles_USD_2018,balance_tradicional_miles_USD_2018,ingresos_totales_miles_USD_2018,gasto_totales_miles_USD_2018,deuda_total_economia_musd_2018,deuda_bruta_publica_musd_2018,activos_fx_publico_musd_2018,posicion_neta_publico_musd_2018,deuda_publica_lp_musd_2018,deuda_publica_cp_musd_2018,deuda_gob_federal_musd_2018,deuda_organismos_empresas_musd_2018,deuda_banca_desarrollo_musd_2018,endeudamiento_neto_total_musd_2018,endeudamiento_neto_lp_musd_2018,endeudamiento_neto_cp_musd_2018,endeudamiento_neto_gf_musd_2018,endeudamiento_neto_oye_musd_2018,endeudamiento_neto_bd_musd_2018,fuente_bancario_musd_2018,fuente_comercio_ext_musd_2018,fuente_capitales_musd_2018,fuente_ofis_musd_2018,fuente_pidiregas_musd_2018,acreedor_eeuu_musd_2018,acreedor_ofis_musd_2018,acreedor_japon_musd_2018,acreedor_otros_musd_2018,moneda_usd_musd_2018,moneda_canasta_musd_2018,CuentaCorriente_2018,Exportaciones_2018,IngresosTurismo_2018,Remesas_2018,Importaciones_2018,BalanzaBienes_2018,BalanzaServicios_2018,BalanzaIngresoPrimario_2018,BalanzaIngresoSecundario_2018,TasaMXN,TasaUSD,tcn_mean
2014-01-01,4.16,1119759.4158983226,77.62956240260606,82.39740405403514,-3.9824234235313214,-8021.575763383075,-3982.423505910292,110089.76395146624,116244.36466866308,260518.6219405316,152181.18898506495,3912.689506665365,148268.4994783996,147743.53942093448,4437.649564130532,78769.69180569644,63496.93485979603,9914.562319572531,8602.69502209056,7924.808110694717,677.8869113958433,1509.1269536671175,6682.104247499162,411.463820924281,24798.76783032921,32697.253339685343,305402.9199922757,86942.48652900208,1413.2146410973553,44383.102933949005,28986.299397125043,8018.37590006833,3061.414447990629,126011.08822346057,17.47735473493449,-9622.354432609884,96721.28390443976,4715.765923546581,6050.562665346745,98112.28845102304,-1278.8669932053383,-2937.3324132048056,-11478.381225484609,6072.226199284868,3.5,0.0733,13.234
2014-04-01,3.59,1159896.8445777667,77.30756179292206,93.3409074015454,-14.980573278701192,-17016.605197626763,-14980.57322079834,108934.78893552769,126164.10238317262,273161.38135409093,156463.8607181506,2852.9464578668963,153610.91426028367,152425.34025572144,4038.5204624291287,81534.50236597212,65359.1132581264,9570.24509405207,5031.799112531786,5408.863377037138,-377.0642645053524,3124.9585193571224,2220.195095811105,-313.35450263644134,28098.125109376782,32286.11439748838,319181.454700352,86719.4805232636,1237.517071643375,44627.78713596776,29014.86724022927,8204.036423558682,4028.9798990876943,126239.3560524868,24.593452169030577,-8411.459103381107,107988.62834216814,4234.718836970245,6770.435222440017,106921.67640188037,1147.5119408923945,-3755.762783882688,-12539.506147204323,6736.29788681351,3.3626,0.0933,12.9984
2014-07-01,4.15,1156676.6153282518,75.99259842176242,89.10885982168135,-13.922871953577388,-16765.56839295062,-13922.871937453116,106268.74615415146,123022.45215852426,270215.3255022564,154845.8841309734,2563.457555285746,152282.42657568766,150601.43960101626,4244.44452995712,81274.63114712221,63920.962431309534,9650.290552541635,890.0835547102544,675.2285080042392,214.8550467060153,1100.3919641090067,-457.2013887582728,246.89297935952052,30910.68380855798,30904.656870732077,316736.624165924,87478.99356376374,1062.3270936295946,40462.95731961513,29070.141585127072,8475.143412241117,3997.974493602926,125918.06286713878,23.0503937903107,-2778.305023910463,106921.29652578694,3782.099030283037,6475.096683695094,108740.61546921052,-1755.383701379084,-4311.01904526271,-3179.812060708805,6467.909783440135,3.0,0.09,13.1151
2014-10-01,4.18,1192089.429344613,86.3764847317037,96.05820736532966,-10.504138531754226,-22710.88493305126,-10504.138615183128,101039.96959317788,123799.16981096672,274043.1817378794,156524.41817354172,2171.285552827282,154353.13262071443,151440.0653700408,5084.352803500948,83287.09639548874,63136.34959559006,10100.972182462909,2877.7695505617985,2047.6906028860296,830.0789476757687,2619.873741636355,-489.0798447932571,746.9756537187003,32028.899883489416,29973.04734994689,322295.0317917022,88403.99092251626,755.8795780712434,43007.014613777246,29876.906166759312,7707.406518120354,3464.050569536984,129241.41596905718,22.57780817966272,-5575.949477131308,109352.11064796004,4464.260557484868,6586.343064619655,110466.49614017647,-1078.5639837748372,-3595.3298754321936,-7500.223823357913,6598.168205433635,3.0,0.1,13.8488
2015-01-01,3.07,1152070.6467860765,77.6064511390493,84.48269589069473,-6.888724436347348,-9022.645864657496,-6888.724392069476,103229.0770460662,110404.10538960206,280928.76137345715,169586.1294370207,3904.8423445433496,165681.28709247737,164681.92484544625,4904.20459157443,87255.5159134074,71851.87307131781,10478.74045229547,13411.853177327866,12822.392686792293,589.460490535574,4003.210230927748,8991.059532833378,417.5834135667396,38048.42106031314,28379.775359988103,347039.1292324361,91156.73080877824,1530.1434127169596,45006.61540098999,30255.273271865903,9209.2399315927,3530.3615623207497,141226.94518557074,21.33793630898005,-10300.988460002009,96513.7872219477,5188.101022460773,6262.695410947701,98804.92039380725,-2258.2180394750058,-2687.136092260092,-11557.319129598303,6201.684801331394,3.0,0.11,14.9392
2015-04-01,2.94,1187068.072581389,66.3824237250972,84.75664393228674,-17.633893320271152,-9022.645864657496,-17633.89329190812,93120.92676734312,109338.849138561,286049.01957819884,172044.80254705437,4001.845297729575,168042.95724932477,166373.87038888418,5670.932158170156,87708.2839099426,73187.51433511986,11149.0043019919,3132.2797605081028,2334.98374514686,797.2960153612424,715.9133279878461,1580.1805131667793,836.1859193534774,37428.406564821074,27206.825804355165,360609.65482866304,89900.10618290007,1325.7536480840647,46614.47740209318,29972.671537601287,8527.061810221134,3375.897987424038,139573.11028506924,22.041144496961515,-8052.356467611665,103824.41483620442,4722.964489726704,6880.953582568582,105957.3607615948,-2102.1675567704,-2605.240565505645,-10128.709433827882,6783.761088492262,3.0,0.1233,15.318
2015-07-01,2.61,1195836.2373250844,63.44914014227293,70.3764693513084,-5.623003929775327,-9022.645864657496,-5623.003956125789,86438.32505620555,96569.4171291075,285651.90177860466,172462.8283069517,4422.256439847807,168040.57186710392,167768.8390412226,4693.989265729121,87373.50489815224,75022.22394925481,10067.099459544685,1237.049438103046,2194.237290576192,-957.1878524731457,-108.9464942927414,2121.9229993063004,-775.9270669105128,37943.25584515777,26741.613774988964,359914.45618044614,89352.06613461985,1180.675961405058,47029.62571945093,29720.32916545795,8597.060764751635,3521.0197908389573,140440.79331294278,20.69138845094701,-8150.07354561439,101231.47258011183,4101.279298152392,7068.496009001796,108279.29519372518,-7034.039456913141,-4282.640054791735,-3815.004987796669,6981.610953887155,3.0,0.1367,16.4259
2015-10-01,2.27,1218522.2891173386,77.7467405825576,87.59261482905323,-12.532374408295595,-9022.645864657496,-12532.37438938652,90595.908131745,106318.92353981898,286877.5126130501,171254.78519006717,633.4577883172088,170621.32740174994,167926.7035465466,3328.081643520563,87193.66976479691,73503.59119628149,10557.52422898876,-551.636157326236,784.3263182347574,-1335.9624755609937,188.981573514634,-1266.0709662499949,525.4532354091248,32972.85037378541,27452.47690119704,362944.0740208631,90296.3460119746,1022.400870343975,47921.39841509101,30243.914221714876,7870.079562053002,2815.086411281676,139045.6737563962,20.48180182225642,-6927.339728042897,101589.727536525,4781.520740960036,6669.626300553892,105666.421148175,-4063.617236488669,-2281.932786982833,-7168.254841068353,6586.465136496959,3.0408,0.16,16.7501
2016-01-01,2.69,1171167.0068816426,61.91736303330213,64.9273070806878,-3.6000705191518407,-9022.645864657496,-3600.0705520750207,82698.54864203885,86396.03443935492,305922.74528228724,185999.86960626475,2263.060530973203,183736.8090752916,182012.0996070501,3987.769999214661,93323.09333941503,81783.30167193031,10893.47459491942,13383.031334388868,12727.629059430516,655.402274958349,5191.770600068998,7851.727705352084,339.5330289677843,32812.264861345626,26330.81808901816,392392.00419314846,90056.54051156412,1409.896641133805,54610.30644945504,30059.765461919484,8420.397990023392,3437.5870449943063,146715.2431749847,19.543749333864373,-10711.681792026178,89952.45684112525,5573.705085216895,6692.841584872889,94167.78474981348,-4200.379637485234,-2387.986821988147,-10857.341386447615,6734.02605389482,3.4918,0.36,18.0652
2016-04-01,2.56,1213931.3812523626,74.20556736017471,78.53176389582055,-3.190004653097686,-9022.645864657496,-3190.004624113885,96986.05896891945,96092.3978936966,305748.19415182306,188546.86121560275,4735.135325228759,183811.725890374,185196.496990001,3350.364225601757,94624.83736607348,84108.73073565852,9813.29311387076,4596.899263743251,5203.92221152495,-607.0229477816997,2161.680821986419,3247.866220952153,-812.6477791953209,34758.66639270366,26397.009129959333,406637.462225382,88690.43346497008,947.2157116800762,54850.79059248356,29861.399765641632,10364.350893469547,4221.806872494856,148093.5817547592,19.179074489649697,-7846.394577291329,98251.36139966275,5070.408447961206,7454.578228022816,101470.26931420926,-3200.749281055714,-3545.373041031351,-8619.059847845874,7518.78759264161,3.7555,0.3733,18.0797
