periodo,year,quarter,inpc_q_eoq,inpc_q_avg,inflacion_yoy_eoq,inflacion_yoy_avg,PIB_USD_2018,ingresos_mmxn_USD_2018,gasto_mmxn_USD_2018,balance_mmxn_USD_2018,rfsp_total_miles_mxn_USD_2018,rfsp_sin_ingresos_rec_miles_USD_2018,balance_tradicional_miles_USD_2018,ingresos_totales_miles_USD_2018,gasto_totales_miles_USD_2018,incurrimiento_neto_pasivos_miles_USD_2018,adq_neta_activos_fin_miles_USD_2018,deuda_total_economia_musd_2018,deuda_bruta_publica_musd_2018,activos_fx_publico_musd_2018,posicion_neta_publico_musd_2018,deuda_publica_lp_musd_2018,deuda_publica_cp_musd_2018,deuda_gob_federal_musd_2018,deuda_organismos_empresas_musd_2018,deuda_banca_desarrollo_musd_2018,endeudamiento_neto_total_musd_2018,endeudamiento_neto_lp_musd_2018,endeudamiento_neto_cp_musd_2018,endeudamiento_neto_gf_musd_2018,endeudamiento_neto_oye_musd_2018,endeudamiento_neto_bd_musd_2018,fuente_bancario_musd_2018,fuente_comercio_ext_musd_2018,fuente_capitales_musd_2018,fuente_ofis_musd_2018,fuente_pidiregas_musd_2018,acreedor_eeuu_musd_2018,acreedor_ofis_musd_2018,acreedor_japon_musd_2018,acreedor_otros_musd_2018,moneda_usd_musd_2018,moneda_canasta_musd_2018,CuentaCorriente_2018,Exportaciones_2018,IngresosTurismo_2018,Remesas_2018,Importaciones_2018,BalanzaBienes_2018,BalanzaServicios_2018,BalanzaIngresoPrimario_2018,BalanzaIngresoSecundario_2018,TasaMXN,TasaUSD,tcn_mean,tcn_eop
2004-07-01,2004,3,57.2979,56.8684,5.06,4.79,959370.3754957912,49.744356366433784,48.111758926965216,2.6838040805977297,-404.806343929178,-521.0181927802655,,,,,,171355.58510526316,105996.69690881886,5858.384268350643,100138.31264046823,101907.58950818519,4089.1074006336917,78851.56358237987,16614.203283928888,10530.930042510121,-1267.9176653758143,-227.14316678401693,-1040.7744985917973,-142.67720225312445,-639.9258160535118,-485.31464706917797,11203.740566889632,20162.701991638798,199498.39805043128,68179.94533207182,18531.72653837353,53048.736313941205,22650.66885583524,4934.164844833656,4139.230060904771,96244.78969459602,5000.332060376694,-421.4605750596981,63481.08913925893,3205.616145847179,6667.142013454713,66063.61545184827,-2601.2630911960746,-2333.254708659635,-2342.2870096139322,6855.344234409944,,1.4333,11.4501,11.486
2004-10-01,2004,4,58.3071,58.0629,5.19,5.34,973504.9282539698,53.61122978362009,64.77525629337029,-11.482589713641838,-15600.39798750067,-17822.44417127071,,,,,,167925.48003970744,103937.08864733543,4608.344898902821,99328.74374843261,101212.6459532393,2724.4426940961334,78825.03959195402,14435.466239811913,10676.582815569489,-1551.070735893417,-227.8786998432602,-1323.1920360501567,395.2783665099269,-2120.1771261755484,173.8280237722048,10437.02812016719,20363.85459169279,199666.083607628,65300.1698147858,13844.582149947753,51185.859048328115,22372.25701880878,4869.939675809823,3841.1401570010453,93434.07147361546,4319.5935929989555,-4468.245373354577,64996.515215673986,3722.754048775682,6036.390625985167,71844.79228599007,-6870.314705109365,-2414.7177317740857,-1337.9822872543523,6154.769350783227,,1.95,11.327,11.2079
2005-01-01,2005,1,58.7671,58.5266,4.39,4.4,949512.7993878364,54.250180589221415,50.46970759615252,3.082846760223706,-197.5908644026124,-429.1236397043649,,,,,,171491.25564286948,103469.74556948534,4835.677738866747,98634.0678306186,98507.1910082308,4962.554561254548,78925.60702295961,14616.679853231672,9927.458693294055,1353.8748989776468,-902.2351814243631,2256.1100804020098,735.1545922717033,1264.852272569745,-646.1319658638017,9010.603960318835,19445.569943164093,201652.56527768148,65556.81031996186,17588.62583278461,52062.18104825852,21688.8879159591,4649.408988303587,3718.8484257494365,93491.77110431467,4080.1601997920634,-4473.933947938573,61212.530952281224,4510.610362823241,5857.64041778707,63662.960979136195,-2446.263726168927,-1339.0850192086846,-6746.485420108976,6057.900217548014,,2.47,11.1796,11.1386
2005-04-01,2005,2,58.7718,58.8588,4.33,4.51,998726.315573403,56.7390177894685,55.72649957734636,1.7331743995914162,-1715.102592776682,-2020.0830098065321,,,,,,164124.68379036145,97922.32222461274,8003.115871084338,89919.2063535284,94437.31183192773,3485.0103926850265,76635.22165197936,11886.427983562826,9400.67258907057,-5046.84063898451,-3602.3486271944926,-1444.4920117900172,-1864.3165458691915,-2766.9781907917386,-415.5459023235801,10168.362850430294,16925.74860309811,189489.06111506026,63362.257668588645,15405.40811927711,46422.63592616179,20994.727402667817,3206.6400175559384,3010.082267814114,87831.75267882961,3880.330035800345,-222.89998242316267,69984.19879509037,3890.760861591659,7434.26605099781,70862.82879165233,-886.6791245796353,-2761.6610923227445,-4214.98264030055,7640.422874779767,,2.9433,10.977,10.8292
2005-07-01,2005,3,59.309,59.1277,3.51,3.97,981294.492425256,56.579232852648154,49.97662787966253,7.214938677015169,4292.555990245657,3207.335933819816,,,,,,156937.44294201423,94444.83136775177,11180.186079348932,83264.64528840284,91994.75928814852,2450.072079603255,75073.76938072228,10591.264515513732,8779.797471515767,-2010.5840940996948,-1025.9828502034586,-984.6012438962359,-397.97865818921673,-1145.274270854527,-467.33116505595115,11338.432407171922,14694.812753306205,183382.46062945065,61350.65804959308,14377.170608596134,44479.734776958285,20346.46731841302,3024.3057276195323,3007.9574387080365,85697.85819506612,4164.982042217701,89.27128378907172,69203.51520308749,3434.0259542483773,7389.316750484227,71359.47134749238,-2185.6434313818513,-2162.8327443278763,-3130.362286251073,7568.109745749873,,3.46,10.7147,10.778
2005-10-01,2005,4,60.2503,59.8625,3.33,3.1,1005202.0457069954,62.38949907836171,74.9742350246235,-13.19812792166254,-16664.63845136902,-17434.512266228234,,,,,,155209.73429606922,90697.62025575341,7531.719590122628,83165.90066563078,89703.2611741139,994.3590816395096,73866.53001780616,8855.844485805477,7975.245752141778,-2951.948161935159,-1510.0136066689065,-1441.9345552662523,-641.0566438770369,-1618.5857741474888,-692.3057439106334,12133.888773139593,12575.896443305899,177114.61197833027,60811.675935914674,10638.174298085,41685.258721400976,21293.937793465484,2693.4249239879055,2673.051824962204,82859.16531135562,3482.28144154208,-2773.633656675857,74884.19288774735,3363.84516870314,7189.266033853151,79115.2388656988,-4293.910320804211,-2599.1564144947665,-3240.2753785428545,7359.708457165974,,3.98,10.7124,10.6268
2006-01-01,2006,1,60.7725,60.6908,3.41,3.7,1006201.9623010176,67.0757144829105,60.959113480856956,5.933581727353528,1116.7543124575384,-660.9715821582802,,,,,,152042.5516080381,90698.44860862299,9896.358335394385,80802.0902732286,87279.0222791611,3419.4263294618986,71585.0097964572,11942.626236046122,7170.8125761196525,-173.72191343582887,-2595.380209642379,2421.658296206551,-2313.900355698529,2912.2338734959894,-772.0554312332887,10498.846072860963,12291.07714647393,171992.37331358623,62888.213861881675,17630.634161179813,43859.621839321524,20812.137000501334,2593.6178134191177,2636.1670936664436,83028.37435954211,3166.270700534759,-1790.988736596956,74086.59653795203,4129.400992439556,7218.688912957043,73163.76181554646,894.3850701673696,-1802.7979003435778,-8299.910380328476,7417.334473907729,,4.4567,10.5884,10.7269
2006-04-01,2006,2,60.643,60.6984,3.18,3.13,1045360.7932662014,62.194628373854535,58.2208903724452,3.7037291960118397,2421.4107190888067,2317.2693784657577,,,,,,157241.2682459424,91077.63124585956,10804.556143673402,80273.07510218617,88603.02446422658,2474.6067816329914,70138.97708024182,13882.500379099041,7056.1537865187165,910.2460841338193,1838.956589930441,-928.7105057966215,-979.1133865518384,1982.554896240477,-93.1954255548195,12829.279786684336,11852.911111460751,168084.12558860553,61462.320773600535,15312.494981119578,43286.84235789997,20864.42220014906,1700.0991486419348,3749.649953212985,84560.43895652535,3125.8519240642604,-112.90855862679531,79571.32103333472,3752.1176483124555,8667.752279695795,79760.84709333886,-243.57119514868006,-2535.900312640673,-6188.804317904894,8855.367267067451,,4.9067,11.1688,11.3924
2006-07-01,2006,3,61.7366,61.2218,4.09,3.54,1030804.8134863047,61.88163825206503,56.513041958386,6.331139397569995,3354.8985362506924,2493.2321300440367,,,,,,147489.9138425759,82724.16380771124,15890.828767678426,66833.33504003282,80700.70145463495,2023.4623530762922,63255.69243470058,12533.181458490568,6935.289914520098,-8810.193646267433,-8372.922096964727,-437.2715493027072,-6861.504975307629,-1908.0266190319935,-40.66205192780968,15115.530738063988,11015.461100820346,151114.76892157507,60955.50566136177,15536.117250861362,39746.47599868745,19184.084195242,1480.7660916324855,3185.9768224774407,77049.89187440525,2420.0718504511897,-126.85026661232487,78036.41999431995,3282.039754676193,8239.798922791928,81278.02967222068,-3317.0262307659923,-3069.5786881119425,-2126.4480342217557,8386.202686487366,,5.2467,10.9521,10.981
2006-10-01,2006,4,62.6924,62.3436,4.05,4.14,1041432.6640155171,67.71978612987544,82.10223801272365,-14.726651950458251,-21285.825772571246,-22214.248243111037,,,,,,133584.39622512355,67966.01588228995,9331.345554118616,58634.67032817133,66917.72717891268,1048.2887033772652,52043.74280980231,8950.228635914333,6972.044436573311,-16049.105208731467,-15056.165950329489,-992.939258401977,-12377.674759967049,-3672.0509582372324,0.6205094728171334,8264.5656684514,11143.853724217463,143992.3257145799,32183.344317133444,13158.523880560131,36584.8662116145,10245.107803789126,1244.4937986820428,2040.4833504118617,62993.62527281713,1728.6152893739704,-2002.8258318129292,79615.24726970016,4012.5587742281396,7716.719572471374,84692.94702384266,-5142.340916454938,-2147.49386504099,-2587.7189829674357,7874.727932650436,,5.2467,10.8906,10.8582
2007-01-01,2007,1,63.3291,63.1792,4.21,4.1,1026106.4538298541,68.19474044544893,56.27280017139933,11.425336987927656,7633.649343704097,5186.081831018907,,,,,,135977.93065726297,72108.84205866374,12374.500729258945,59734.34132940479,67301.60230768855,4807.2397509752,50475.89448822173,14485.748599235501,7147.198971206508,1737.1493475824332,-2018.829312538849,3755.978660121282,-2815.0790913139876,4327.572690231356,224.6557486650646,9126.578341009314,12270.406955123655,138595.88293191462,30712.333456589513,26267.394114292987,41580.60833484242,10217.043580563537,1216.065991816638,2683.4563851759767,58227.869684363024,2230.089286256161,-5983.551762665348,74068.85040051,4567.759350436483,7270.871804767414,77084.38681767059,-3056.906940417205,-1396.5936588540162,-8936.911262724321,7406.860099330193,,5.2567,11.0186,11.1203
2007-04-01,2007,2,63.0582,63.1107,3.98,3.97,1065802.2196383402,65.07596925342014,64.01130126742315,0.9970195513615779,-1402.3345070366943,-1678.14944229343,,,,,,134677.2935653411,70286.01057271173,16978.147297840107,53307.863274871626,66756.4409643277,3529.569608384027,50171.89931157473,13461.82344904685,6652.28781209015,-1070.8406744389756,159.4351980099791,-1230.2758724489547,173.4100819818904,-849.6729454922058,-394.5778109286602,9023.400299567827,11808.53391480465,137297.76659116975,30411.534896022375,23641.371975647406,40131.856583232904,10123.405949252532,1059.053163610494,2972.6401019208147,56825.037768776216,2035.593751421616,-2155.277865904341,82215.78693523478,3773.627542280052,8443.012224763394,85020.42219725257,-2869.0226587774773,-2271.616179287706,-5575.44022213298,8560.801194293823,,5.25,10.8812,10.8326
2007-07-01,2007,3,64.0777,63.6626,3.79,3.99,1053193.277270312,63.949921961817694,61.464959829672416,2.957191017230087,-56.294452020764325,-615.1042512464,,,,,,132498.55211408154,68985.55406176813,21376.40586397934,47609.14819778878,66933.6625435825,2051.891518185622,51106.00993175884,11363.29118130798,6516.252948701303,-1952.509060589885,-481.6969907040046,-1470.8120698858802,708.2358612381516,-2504.2447212884554,-156.50020053958133,8613.065820745509,11470.160531213483,135882.9897070776,30771.48966211245,21021.623773558593,39108.627274344886,10333.48121973271,1007.9530662838623,2975.9189368035823,55940.73101895268,1940.1919151770473,-870.0848908539525,84854.75168053132,3404.250430232215,8777.193051313006,87746.17741492939,-2973.581495212702,-4174.79965873007,-2588.1992309242114,8866.495494013032,,5.0733,10.9608,11.0368
2007-10-01,2007,4,65.0491,64.7192,3.76,3.81,1064385.2402598835,78.17745059614775,93.09344758150557,-14.663146656932371,-18805.790099667807,-23549.44803818187,,,,,,146843.03881647394,66034.53714695416,24839.671759658824,41194.86538729533,64937.160569244086,1097.3765777100696,50402.97503582915,9373.211201262451,6258.350909862557,-2692.4436741946156,-1755.75480712434,-936.6888670702757,-482.301717978238,-1996.965312628173,-213.1766435882046,7443.2885711729305,10985.575787014088,132442.1035969303,31563.50407035024,17828.93971319257,36823.730202987,10920.918965064,702.635943332135,2893.333135751715,52856.95194419678,1835.2039647235254,-2323.916799072181,87896.4151130958,3910.263993824059,7829.670158074636,91376.96699327757,-3579.5183198103387,-2292.233009454398,-4373.42769452258,7921.262224715136,,4.4967,10.8525,10.8474
2008-01-01,2008,1,66.0199,65.6384,4.25,3.89,1034282.0286100691,73.83963709417085,62.31875571089158,11.009099570595437,7134.832598843269,6439.01418740834,11009.099586975599,116085.54197357009,108918.37613383737,12621.001446828228,19758.98820989188,147635.57311748696,70311.62860299634,26116.30075002859,44195.327852967755,66059.0866289681,4252.541974028252,49284.59410395278,15432.42927007139,5594.605228972175,3087.854824622557,-64.20000093998361,3152.054825562541,-1506.3397279374096,5283.164415588687,-688.9698630287211,8894.532483170377,9995.137646343697,134014.1975504027,32121.00708794643,31387.309650733416,38731.246890612536,10674.076259225547,547.3522138964044,3732.6871870050395,57458.17473833206,1963.528705219572,-4851.423229403383,82709.57756025606,4701.339545029464,6998.398412242708,84654.26049681735,-2039.5360741155214,-1458.3878656654697,-8474.254228395554,7120.7549387731615,7.5,3.1767,10.8071,10.7355
2008-04-01,2008,2,66.3722,66.2136,5.26,4.92,1091215.4230904642,76.68506226148571,79.31074122611858,-1.724579396694232,-5019.71519671964,-5837.636918562534,-1724.5793966942317,118102.14532798578,122889.2443137997,18207.4029708186,12702.642158513569,151960.29625370968,67139.1458787559,28641.659867726128,38497.486011029774,63711.27556621965,3427.870312536246,48571.398520057584,13271.114550125034,5296.632808573288,-1882.5093930217918,-1111.285172351932,-771.2242206698595,-30.988767779181668,-1649.1616416620138,-202.35898358059606,10429.234846345495,10413.507464201924,126658.20036026184,30613.058094640837,26417.342036117425,36630.82049927854,10040.59375870884,431.9787628767129,3282.7124003074478,54722.435925971164,1865.7335187353174,-2376.053568805195,92503.64802454945,3894.0384376878155,8297.134487315854,93511.39576278081,-1110.0927467026233,-2957.533344179775,-6741.410130496985,8432.98265257419,7.5273,2.0867,10.4319,10.3303
2008-07-01,2008,3,67.5849,67.1515,5.47,5.48,1065095.514239427,79.1172640379493,73.1515577284936,6.061568231704703,1277.593012695805,954.4765835492094,6061.568214793029,126528.74740807542,121136.21321484675,-7113.763672143693,-1893.9492864802285,153403.9298721563,64160.183900512195,39657.50045485491,24502.683445657287,61613.060383988006,2547.1235165241865,46483.94292290541,12424.354752102934,5251.886225503858,-1356.1100835690231,-532.8067028844791,-823.3033806845441,-425.0751150273461,-995.3985689547246,64.36360041304755,9236.57821471162,10290.489147678205,121728.08951914684,29891.09852052216,23048.93802527632,35389.76924600545,9953.06784854314,409.93073845957025,3218.9831315309716,53654.69049762178,1694.1050333316578,-4194.391467606609,90025.06156829449,3367.9914279030545,7670.331970381924,97399.19582571357,-7505.649300479955,-3432.741649334961,-1047.0655129884744,7791.064995196782,8.0731,1.94,10.3118,10.6105
2008-10-01,2008,4,69.2956,68.72,6.53,6.18,1058603.659417795,71.01540453908854,84.3067199237543,-13.337104930597679,-20652.56693159974,-27071.42524756613,-13337.10493059768,100671.93583691677,116116.76579634572,9275.598880940903,-5376.574304586696,152507.4093140632,66857.58145355126,38301.92442989279,28555.657023658474,65360.133761491765,1497.4476920594936,49003.28001359216,11587.04898456229,6267.252455396807,656.0213483522616,1767.1597087348373,-1111.1383603825757,1333.8826771579902,-1503.4360737967347,825.574744991006,9506.379878995427,10171.442509578425,116544.0066621879,32857.66349599249,22155.955654543865,35952.48266164858,12531.686848799618,445.1363758015793,3680.858641157454,56186.28519778784,1668.9972159439853,-7672.817583703048,74430.64986283836,3649.2123028225,7570.616597894343,84200.43047383506,-9853.70884486255,-2921.511464635466,-2481.203816925134,7583.606542720103,8.25,0.5067,13.0121,13.3983
2009-01-01,2009,1,70.01,69.6919,6.04,6.18,963313.5376216823,53.41487091991892,57.300243871614285,-3.1521439808015095,-4841.129858413003,-7111.297809413556,-3152.1440046458415,70158.19838573251,77380.05455539428,7519.821777091082,-280.69614382416177,182853.3553064274,100994.35000204039,1744.1663627531457,99250.18363928724,99034.17279704551,1960.1772049948754,46859.57369952584,47628.085179860405,6506.69112265414,40442.148141125945,39987.18934476789,454.9587963580602,-1991.6270594208743,42149.07125521673,284.7039453300959,39549.137800977194,41722.96119750507,178433.11373661386,39530.220595307415,3579.9629404692582,42229.94230945501,13705.988437892873,2887.2385153492282,6940.0133650273965,84014.38442538686,1552.7478878821219,-1757.8110026930515,58720.011375529124,4329.943926563974,6772.472537121065,61429.91645795383,-2759.9520657651965,-1638.9320190462147,-4204.040506792508,6845.113588910867,7.6222,0.1833,14.3797,14.7132
2009-04-01,2009,2,70.1794,70.1616,5.74,5.96,978399.5773577451,60.82094688395684,65.82050843328419,-4.9657175049848945,-5534.129384088438,-14022.953799079813,-4965.717495279806,80210.05685671265,85586.10754510306,15281.700757295072,9740.3312003398,182105.8528701635,101239.05819856022,1971.9191017156345,99267.13909684459,99844.4726013667,1394.5855971935346,47256.55261490255,47770.02543640255,6212.480147255124,-189.46512034734224,372.3442402356832,-561.8093605830253,200.75540684848738,-81.03132707592725,-309.18920011990235,36287.333636133706,39581.39232999386,181638.2468375744,41713.609978595545,3215.967545560567,41892.96088395228,14017.596334078038,2822.689232437344,6482.976594678394,82818.60295048874,1635.5626497023516,-304.050020474235,63522.21081744158,2906.69434100481,6893.118507809758,62992.99980698759,466.16281408279815,-2591.05569056078,-5183.091278023781,7003.934134027529,5.6786,0.18,13.3299,13.3415
